,Company,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio (5yr expected),Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Fiscal Year Ends  ,Most Recent Quarter  (mrq),Profit Margin  ,Operating Margin  (ttm),Return on Assets  (ttm),Return on Equity  (ttm),Revenue  (ttm),Revenue Per Share  (ttm),Quarterly Revenue Growth  (yoy),Gross Profit  (ttm),EBITDA  ,Net Income Avi to Common  (ttm),Diluted EPS  (ttm),Quarterly Earnings Growth  (yoy),Total Cash  (mrq),Total Cash Per Share  (mrq),Total Debt  (mrq),Total Debt/Equity  (mrq),Current Ratio  (mrq),Book Value Per Share  (mrq),Operating Cash Flow  (ttm),Levered Free Cash Flow  (ttm),Beta (5Y Monthly)  ,S&P 500 52-Week Change ,Avg Vol (3 month) ,Avg Vol (10 day) ,Shares Outstanding ,Implied Shares Outstanding ,Float ,Shares Short (5/15/2024) ,Short Ratio (5/15/2024) ,Short % of Float (5/15/2024) ,Short % of Shares Outstanding (5/15/2024) ,Shares Short (prior month 4/15/2024) ,Forward Annual Dividend Rate ,Forward Annual Dividend Yield ,Trailing Annual Dividend Rate ,Trailing Annual Dividend Yield ,Payout Ratio ,Dividend Date ,Ex-Dividend Date ,Last Split Factor ,Last Split Date ,Unnamed: 11,Unnamed: 0
5868,TBBB,2.56B ,2.75B ,-- ,149.25 ,-- ,1.01 ,15.47 ,1.09 ,22.85 ,12/31/2023,3/31/2024,-1.27%,2.55%,--,--,47.07B,"1,678.10",30.90%,--,1.59B,-595.85M,--,--,4.29B,153.05,7.79B,253.42%,0.79,--,3.35B,--,--,23.23%,984.35k,1.04M,38.71M,112.2M,9.68M,1.9M,1.87,5.94%,1.69%,1.6M,--,--,--,--,0.00%,--,--,--,--,,
5869,TBBK,1.71B ,-- ,9.02 ,-- ,-- ,3.87 ,2.10 ,4.00 ,-- ,12/31/2023,3/31/2024,43.72%,62.37%,2.57%,25.89%,456.54M,8.48,7.70%,--,--,199.6M,3.67,14.90%,9.42M,0.18,147.76M,--,--,15.63,218.81M,--,1.42,23.23%,685.16k,439.05k,51.76M,51.76M,49.4M,6.14M,8.88,14.90%,11.86%,4.75M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5870,TBC,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,41.65k,59.31k,--,--,--,,,,,,--,--,--,--,--,5/1/2024,--,--,--,,
5871,TBI,318.54M ,344.16M ,9.79 ,16.10 ,-- ,0.18 ,0.71 ,0.19 ,100.13 ,12/31/2023,3/31/2024,-0.63%,-3.85%,-1.02%,-2.53%,1.84B,59.44,-13.40%,--,12.43M,-11.58M,-0.37,--,36.18M,1.18,61.8M,13.85%,1.72,14.61,11.36M,14.7M,1.51,23.23%,419.1k,375.91k,30.57M,30.57M,29.63M,1.04M,3.56,4.99%,3.41%,846.68k,--,--,0.00,0.00%,0.00%,--,--,3:2,7/13/1999,,
5872,TBIO,7.43M ,57.84M ,-- ,-- ,-- ,0.30 ,1.11 ,2.35 ,-0.63 ,12/31/2023,3/31/2024,-183.66%,-247.70%,-26.81%,-155.29%,24.63M,14.80,-45.50%,--,-30.27M,-47.13M,-28.2900,--,15.6M,9.27,36.12M,166.83%,3.65,-4.93,-26.74M,-17.67M,1.76,23.23%,24.76k,47.87k,1.68M,1.68M,521.78k,17.51k,0.52,5.73%,1.05%,5.84k,--,--,0.00,0.00%,0.00%,--,--,1:18,5/9/2024,,
5873,TBLA,1.24B ,1.27B ,-- ,92.59 ,-- ,0.85 ,1.22 ,0.83 ,27.61 ,12/31/2023,3/31/2024,-5.04%,-4.40%,-1.94%,-7.22%,1.53B,4.37,26.30%,--,46.06M,-76.89M,-0.2300,--,181.02M,0.54,209.59M,20.53%,1.31,3.02,99.24M,94.76M,1.33,23.23%,982.58k,1.05M,290.73M,335.93M,184.19M,2.28M,2.29,1.17%,0.68%,1.94M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5874,TBLAW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,-5.04%,-4.40%,-1.94%,-7.22%,1.53B,4.37,26.30%,--,46.06M,-76.89M,--,--,181.02M,0.54,209.59M,20.53%,1.31,--,99.24M,94.76M,1.33,23.23%,--,--,--,--,184.19M,,,,,,--,--,--,--,--,--,--,--,--,,
5875,TBLD,513.02M ,-- ,7.20 ,-- ,-- ,6.85 ,0.87 ,6.85 ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,2.22,--,--,--,--,--,--,--,--,--,--,23.23%,83.07k,72.85k,32.08M,32.08M,--,,,,,,1.25,8.82%,0.00,0.00%,--,3/20/2023,10/11/2023,--,--,,
5876,TBLT,2.33M ,5.46M ,-- ,-- ,-- ,0.01 ,0.28 ,0.06 ,-1.08 ,12/31/2022,9/30/2023,-57.25%,-51.26%,-41.80%,-176.68%,89.62M,309.75,-31.80%,--,-47.5M,-51.31M,-197.6000,--,1.83M,3.23,4.97M,60.06%,0.74,14.56,-11.11M,14.59M,1.98,23.23%,75.21k,22.22k,774.5k,774.5k,565.76k,98.72k,0.88,12.75%,12.75%,80.42k,--,--,0.00,0.00%,0.00%,4/15/2020,--,1:65,1/2/2024,,
5877,TBMC,97.32M ,97.75M ,29.16 ,-- ,-- ,-- ,1.37 ,-- ,-- ,12/31/2023,3/31/2024,0.00%,0.00%,--,--,--,--,--,--,--,1.97M,0.37,--,578.64k,0.06,1.01M,--,0.32,-0.30,-618.19k,--,--,23.23%,15.86k,10.04k,9.02M,9.02M,6.3M,1.03k,0.05,0.01%,0.01%,507,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5878,TBMCR,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11.43k,18.47k,--,--,--,,,,,,--,--,0.00,0.00%,--,--,--,--,--,,
5879,TBNK,68.18M ,-- ,30.88 ,19.12 ,-- ,1.60 ,0.27 ,7.85 ,-- ,12/31/2023,3/31/2024,5.35%,-2.45%,0.10%,0.88%,41.66M,4.85,-27.00%,--,--,2.2M,0.25,--,90.06M,10.47,319.6M,--,--,29.09,3.17M,--,0.66,23.23%,32.35k,9.16k,8.83M,8.83M,6.6M,34.6k,0.5,0.43%,0.39%,46.29k,0.34,4.40%,0.56,7.24%,224.00%,6/10/2024,5/28/2024,--,--,,
5880,TBPH,416.79M ,364.71M ,-- ,12.08 ,-- ,7.19 ,2.03 ,5.93 ,-- ,12/31/2023,3/31/2024,-72.78%,-77.27%,-5.66%,-15.56%,61.51M,1.19,39.20%,--,-41.74M,-44.77M,-0.89,--,99.97M,2.06,47.9M,23.38%,5.74,4.22,-16.8M,-6.25M,0.24,23.23%,394.15k,264.75k,48.63M,48.63M,19.34M,5.89M,13.81,23.76%,12.10%,6.43M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5881,TBRG,154.57M ,339.71M ,-- ,11.07 ,-- ,0.44 ,0.84 ,1.01 ,-- ,12/31/2023,3/31/2024,-15.27%,2.87%,-1.37%,-24.57%,336.45M,23.67,-3.50%,--,8.02M,-50.23M,--,--,4.12M,0.29,189.26M,102.48%,1.95,--,-10.45M,-20.54M,0.66,23.23%,165.28k,196.76k,15.01M,15.01M,12.25M,1.01M,6.35,7.84%,6.74%,1.01M,--,--,--,--,0.00%,8/31/2020,8/14/2020,--,--,,
5882,TC,4.35M ,7.07M ,-- ,-- ,-- ,0.16 ,1.59 ,0.31 ,-0.14 ,12/31/2023,12/31/2023,-51.10%,-93.81%,-42.13%,-147.81%,162.37M,95.79,-25.30%,--,-115.28M,-82.97M,-6.7500,--,16.16M,0.04,28.88M,148.20%,0.71,11.71,-74.89M,-48.24M,0.03,23.23%,51.95k,14.44k,2.01M,24.15M,223.38M,17.53k,0.25,0.92%,0.87%,83.78k,--,--,0.00,0.00%,0.00%,10/22/2020,--,1:15,1/26/2024,,
5883,TCBC,57.86M ,-- ,18.56 ,-- ,-- ,4.30 ,0.74 ,4.81 ,-- ,12/31/2023,3/31/2024,-0.30%,0.69%,-0.01%,-0.05%,14.57M,3.15,-8.50%,--,--,-43.97k,0.00,-93.30%,23.83M,6.12,13.07M,--,--,19.52,741.4k,--,0.06,23.23%,6.7k,2.12k,4.23M,4.23M,3.6M,10.06k,1.42,0.26%,0.24%,10.38k,0.1,0.73%,0.10,0.73%,166.67%,1/19/2024,1/4/2024,--,--,,
5884,TCBI,2.68B ,-- ,17.40 ,15.15 ,-- ,2.62 ,0.93 ,4.33 ,-- ,12/31/2023,3/31/2024,17.73%,18.27%,0.61%,5.65%,996.12M,20.84,-3.00%,--,--,159.37M,3.30,-32.40%,3.21B,68.73,1.69B,--,--,61.10,451.36M,--,1.16,23.23%,383.7k,305.16k,46.65M,46.65M,45.91M,1.7M,4.07,4.86%,3.65%,2.36M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5885,TCBIO,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,3/31/2024,17.73%,18.27%,0.61%,5.65%,996.12M,20.84,-3.00%,--,--,159.37M,3.96,-32.40%,3.21B,68.73,1.69B,--,--,61.10,451.36M,--,1.16,23.23%,19.02k,18.19k,--,--,45.91M,3.88k,0.06,--,--,1.95k,1.44,7.54%,0.00,0.00%,--,6/17/2024,6/3/2024,--,--,,
5886,TCBK,1.23B ,-- ,11.27 ,11.00 ,-- ,3.06 ,1.05 ,4.34 ,-- ,12/31/2023,3/31/2024,28.35%,40.02%,1.11%,9.70%,385.48M,11.59,-8.30%,--,--,109.31M,3.28,-22.60%,73.32M,2.21,521.83M,--,--,35.06,125.01M,--,0.56,23.23%,107.71k,105.64k,33.17M,33.32M,31.66M,397k,3.45,1.25%,1.20%,345.7k,1.32,3.57%,1.23,3.33%,37.50%,6/21/2024,6/7/2024,2:1,5/3/2004,,
5887,TCBP,5.24M ,6.20M ,-- ,-- ,-- ,0.51 ,3.81 ,1.83 ,-0.17 ,12/31/2023,3/31/2024,0.00%,0.00%,-108.91%,"-1,217.48%",--,--,--,--,-12.92M,-8.59M,-19.3600,--,980.96k,0.01,1.73M,159.94%,0.88,0.34,-10.04M,-6.85M,0.10,23.23%,2.43M,179.32k,4.95M,3.2M,98.35M,131.2k,0.06,2.94%,2.65%,237.55k,--,--,0.00,0.00%,0.00%,--,--,1:20,12/15/2023,,
5888,TCBPW,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,--,--,0.00%,0.00%,-108.91%,"-1,217.48%",--,--,--,--,-12.92M,-8.59M,-0.7540,--,980.96k,0.01,1.73M,159.94%,0.88,-0.65,-10.04M,-6.85M,0.10,23.23%,--,--,--,--,98.35M,,,,,,--,--,0.00,0.00%,--,--,--,1:50,11/21/2022,,
5889,TCBS,46.43M ,-- ,28.31 ,-- ,-- ,4.58 ,0.90 ,12.71 ,-- ,12/31/2023,3/31/2024,-25.53%,"1,053.73%",-0.55%,-4.49%,9.4M,3.10,--,--,--,-2.4M,-0.81,--,50.06M,16.85,76.53M,--,--,17.32,2.52M,--,-0.00,23.23%,1.97k,3.84k,3.19M,3.19M,2.11M,2.27k,2.48,0.09%,0.07%,4.56k,0.16,1.10%,0.13,0.89%,166.67%,6/28/2024,6/14/2024,--,--,,
5890,TCBX,268.28M ,-- ,9.63 ,-- ,-- ,2.18 ,0.63 ,2.72 ,-- ,12/31/2023,3/31/2024,23.53%,33.90%,0.81%,8.52%,146.74M,10.79,15.90%,--,--,29.79M,2.04,12.20%,509.28M,37.3,154.38M,--,--,31.02,40.52M,--,0.68,23.23%,27.48k,16.69k,13.65M,13.65M,12.67M,81.52k,2.64,0.64%,0.60%,52.87k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5891,TCI,248.64M ,296.11M ,49.62 ,-- ,-- ,5.26 ,0.30 ,6.26 ,9.94 ,12/31/2023,3/31/2024,9.76%,-7.28%,-0.46%,0.74%,50.92M,5.89,-0.30%,--,6.06M,4.97M,0.58,-27.50%,54.66M,6.33,178.28M,21.00%,16.08,95.94,-28.74M,-19.05M,0.54,23.23%,6.4k,2.55k,8.64M,8.7M,1.25M,8.85k,1.05,0.47%,0.10%,4.75k,--,--,0.00,0.00%,0.00%,--,9/15/2000,3:2,3/4/1996,,
5892,TCJH,6.95M ,2.69M ,-- ,-- ,-- ,1.21 ,0.94 ,0.49 ,-- ,12/31/2023,12/31/2023,-46.72%,-55.51%,-20.21%,-55.22%,5.45M,0.39,311.50%,--,-2.4M,-2.55M,-0.1800,--,4.62M,0.31,354.05k,4.78%,2.48,0.50,-1.65M,-3.6M,--,23.23%,212.21k,418.48k,10.96M,14.75M,6.97M,17.89k,0.06,0.17%,0.12%,28.74k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5893,TCMD,283.01M ,256.97M ,9.68 ,19.53 ,-- ,1.02 ,1.46 ,0.93 ,10.12 ,12/31/2023,3/31/2024,10.19%,-4.85%,3.60%,16.13%,276.66M,11.76,3.80%,--,22.29M,28.19M,1.23,--,60.71M,2.56,48.99M,25.32%,4.26,8.14,37.28M,12.62M,1.24,23.23%,254.87k,390.75k,23.76M,24.02M,21.53M,1.37M,6.17,5.81%,5.77%,1.13M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5894,TCOA,79.68M ,80.49M ,65.06 ,-- ,-- ,-- ,1.36 ,-- ,-- ,12/31/2022,9/30/2023,0.00%,0.00%,-1.01%,--,--,--,--,--,--,3.06M,0.17,94.40%,7.38k,0,816.4k,--,0.01,-0.80,-1.64M,1.69M,-0.01,23.23%,9.25k,20.6k,2.89M,10.67M,5.07M,670,0.11,0.02%,0.01%,963,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5895,TCOM,32.80B ,30.00B ,22.31 ,19.16 ,1.40 ,5.12 ,1.84 ,4.52 ,15.11 ,12/31/2023,3/31/2024,22.99%,27.84%,3.54%,8.92%,47.22B,72.34,29.40%,--,13.22B,10.86B,2.27,27.80%,67.69B,103.97,47.78B,37.15%,1.15,196.24,21.28B,13.72B,0.44,23.23%,3.7M,3.8M,651.11M,661.85M,539.39M,11.83M,2.71,--,1.83%,10.69M,--,--,0.00,0.00%,0.00%,--,6/10/2008,2:1,12/2/2015,,
5896,TCON,2.60M ,-5.73M ,0.01 ,-- ,-- ,0.13 ,-- ,-- ,-1.16 ,12/31/2023,3/31/2024,14.39%,"-3,212.00%",-19.78%,--,12.14M,6.32,--,--,-2.78M,1.75M,106.4000,--,7.89M,2.94,967k,--,0.80,-0.66,6.14M,-1.2M,1.24,23.23%,234.04k,192.62k,2.68M,2.68M,2.62M,124.05k,0.46,4.67%,4.63%,24.41k,--,--,0.00,0.00%,0.00%,11/8/2019,--,1:20,4/10/2024,,
5897,TCPC,958.62M ,-- ,31.11 ,6.87 ,-- ,19.62 ,1.01 ,67.33 ,-- ,12/31/2023,3/31/2024,9.69%,74.45%,4.88%,2.44%,214.75M,3.65,10.80%,--,--,20.82M,0.36,-77.70%,120.57M,1.41,1.3B,136.81%,5.91,11.14,166.28M,63.28M,1.50,23.23%,502.25k,483.04k,85.59M,85.59M,--,1.06M,2.51,1.24%,1.24%,897.43k,1.36,12.14%,1.36,12.52%,377.78%,6/28/2024,6/14/2024,--,--,,
5898,TCRT,15.21M ,9.15M ,4.35 ,-- ,-- ,170.18 ,3.17 ,1.52k ,-3.55 ,12/31/2023,3/31/2024,0.00%,"-174,200.00%",-47.01%,-156.09%,6k,0.00,--,--,-18.94M,-26.77M,-32.4800,--,4.14M,0.26,--,--,4.87,0.30,-22.68M,-569.38k,-0.30,23.23%,45.75k,20.78k,16.01M,16.01M,13.08M,1.45M,37.28,10.54%,9.07%,1.46M,--,--,0.00,0.00%,0.00%,--,--,1:15,2/1/2024,,
5899,TCRX,475.77M ,404.75M ,-- ,-- ,-- ,50.59 ,3.87 ,27.33 ,0.39 ,12/31/2023,3/31/2024,0.00%,"-5,542.93%",-30.79%,-96.32%,14.81M,0.18,-91.70%,--,-96.97M,-96.8M,-0.75,--,162.78M,3.08,91.76M,74.62,5.23,2.57,-67.04M,-43.51M,0.92,--,215.66k,159.09k,48.59M,--,26.08M,381.76k,1.59,1.00%,0.72%,419.69k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5900,TCS,30.17M ,625.17M ,-- ,-- ,-- ,0.04 ,0.19 ,0.74 ,-- ,3/30/2024,3/30/2024,-12.18%,-1.03%,-0.25%,-48.97%,847.78M,17.14,-20.70%,--,29.42M,-103.29M,-2.0900,--,21M,0.42,615.99M,385.74%,1.19,3.22,46.79M,8.15M,1.11,23.23%,263.73k,219.09k,50.27M,50.27M,27.55M,457.87k,2.38,1.43%,0.92%,479.01k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5901,TCTM,11.40M ,11.21M ,4.36 ,-- ,-- ,0.07 ,1.43 ,0.06 ,0.44 ,12/31/2023,12/31/2023,0.65%,0.98%,0.71%,--,1.38B,127.63,--,--,60.33M,14.36M,--,--,220.99M,4.5,219.64M,--,0.23,--,-118.94M,95.19M,-0.56,23.23%,35.52k,19.82k,9.83M,--,21.65M,26.18k,0.99,0.55%,0.27%,34.78k,--,--,--,--,0.00%,--,4/4/2018,1:5,12/23/2021,,
5902,TCX,229.96M ,616.59M ,-- ,-- ,-- ,0.66 ,2.41 ,1.78 ,13.88 ,12/31/2023,3/31/2024,-29.91%,-18.83%,-5.13%,-325.23%,346.36M,31.80,8.70%,--,-13.27M,-103.6M,-9.50,--,66.59M,6.08,568.83M,--,1.03,-1.46,-5.2M,-57.32M,0.87,23.23%,38.38k,47.24k,10.95M,10.95M,9.11M,1.04M,29.74,17.60%,9.49%,1.03M,--,--,0.00,0.00%,0.00%,--,--,1:4,12/31/2013,,
5903,TD,95.59B ,-- ,12.51 ,9.33 ,-- ,2.45 ,1.29 ,6.35 ,-- ,10/31/2023,4/30/2024,21.91%,30.66%,0.58%,9.89%,51.5B,28.69,-0.70%,--,--,10.75B,4.34,-22.40%,545.54B,310.09,475.85B,--,--,60.90,-51.66B,--,0.81,23.23%,2.97M,2.26M,1.76B,1.76B,1.71B,10.58M,2.82,--,0.60%,18.16M,2.98,5.49%,3.96,7.29%,66.33%,7/31/2024,7/10/2024,2:1,2/3/2014,,
5904,TDC,3.24B ,3.53B ,79.71 ,15.36 ,3.54 ,1.86 ,59.95 ,1.94 ,14.89 ,12/31/2023,3/31/2024,2.31%,9.46%,4.96%,29.58%,1.82B,18.44,-2.30%,--,258M,42M,0.42,-50.00%,337M,3.48,629M,"1,164.81%",0.78,0.55,293M,264.12M,0.83,23.23%,1.02M,817.47k,96.7M,96.7M,89.74M,2.83M,2.41,3.87%,2.92%,3.36M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5905,TDCX,1.03B ,682.15M ,11.61 ,17.67 ,-- ,2.12 ,2.13 ,1.40 ,4.80 ,12/31/2023,12/31/2023,18.25%,21.21%,11.63%,19.83%,658.35M,4.55,-10.10%,--,156.13M,120.15M,0.61,28.00%,510.56M,3.55,43.62M,6.71%,8.04,4.50,137.18M,83.65M,0.27,23.23%,170.44k,45.08k,144.04M,144.04M,19.34M,21.49k,0.15,0.02%,0.01%,25.31k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5906,TDF,207.90M ,-- ,-- ,-- ,-- ,-- ,0.87 ,-- ,-- ,12/31/2023,12/31/2023,0.00%,30.71%,0.24%,-27.54%,6M,0.24,--,--,--,-88.46M,-2.53,--,2.85M,0.11,433.28k,0.18%,4.94,9.42,--,--,0.52,23.23%,45.77k,27.5k,25.35M,25.35M,--,932,0.02,0.01%,0.00%,3.84k,--,--,0.00,0.00%,0.00%,12/31/2018,8/12/2022,--,--,,
5907,TDG,74.07B ,92.19B ,52.50 ,34.97 ,4.62 ,10.43 ,-- ,12.62 ,26.20 ,9/30/2023,3/30/2024,21.24%,45.86%,9.99%,--,7.3B,126.92,20.50%,--,3.6B,1.45B,25.15,32.60%,4.36B,77.99,22.47B,--,3.71,-54.15,1.73B,1.87B,1.39,23.23%,203.62k,222.85k,55.96M,56.48M,55.69M,1.05M,4.68,2.48%,1.87%,1.03M,--,--,0.00,0.00%,0.00%,11/27/2023,11/17/2023,--,--,,
5908,TDOC,1.69B ,2.18B ,-- ,-- ,-- ,0.63 ,0.74 ,0.83 ,12.72 ,12/31/2023,3/31/2024,-8.90%,-11.93%,-3.25%,-10.18%,2.62B,15.80,2.70%,--,46.03M,-233.03M,-1.41,--,1.1B,6.47,1.59B,69.48%,3.82,13.52,345.78M,306.86M,0.99,23.23%,4.63M,4.15M,169.59M,173.58M,167.97M,27.04M,4.86,20.78%,15.95%,26.81M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5909,TDS,2.27B ,8.32B ,-- ,-- ,-- ,0.45 ,0.55 ,1.62 ,11.54 ,12/31/2023,3/31/2024,-9.36%,5.78%,0.84%,-7.31%,5.12B,45.30,-3.10%,--,1.11B,-548M,-4.88,262.50%,249M,2.2,5.22B,86.71%,1.58,36.55,1.32B,-254.62M,0.85,23.23%,1.25M,1.45M,105.5M,113.04M,102.22M,3.05M,2.15,3.09%,2.70%,2.34M,0.16,0.80%,0.75,3.71%,174.39%,6/28/2024,6/14/2024,1087:1000,1/25/2012,,
5910,TDUP,208.38M ,226.03M ,-- ,-- ,-- ,0.62 ,2.23 ,0.69 ,-2.64 ,12/31/2023,3/31/2024,-20.88%,-21.00%,-15.85%,-60.56%,325.69M,3.05,4.80%,--,-48.38M,-68.01M,-0.6400,--,62.51M,0.57,80.15M,85.70%,1.13,0.85,-16.74M,-10.66M,0.82,23.23%,515.36k,420.9k,80.57M,110.26M,77.16M,5.95M,9.54,8.54%,5.39%,6.5M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5911,TDW,5.49B ,5.93B ,41.29 ,36.36 ,-- ,4.86 ,5.19 ,5.21 ,15.36 ,12/31/2023,3/31/2024,11.73%,22.01%,8.25%,13.64%,1.14B,21.88,66.30%,--,366.21M,133.47M,2.52,337.90%,280.85M,5.32,723.34M,68.55%,1.82,20.03,146.68M,196.46M,1.22,23.23%,799.89k,1.17M,52.76M,52.76M,49.77M,4.97M,6.53,10.27%,9.42%,5.2M,--,--,0.00,0.00%,0.00%,12/15/2015,--,31:1000,8/1/2017,,
5912,TDY,18.70B ,21.03B ,21.33 ,19.05 ,-- ,3.37 ,2.00 ,3.75 ,15.70 ,12/31/2023,3/31/2024,15.81%,17.55%,4.46%,10.02%,5.6B,118.69,-2.40%,--,1.35B,885.5M,18.49,-0.10%,912.5M,19.24,3.25B,34.78%,1.81,196.71,924.1M,742.72M,1.04,23.23%,264.3k,246.19k,47.42M,47.42M,46.82M,622.06k,1.95,1.71%,1.31%,765.76k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5913,TEAF,158.98M ,-- ,47.67 ,-- ,-- ,36.24 ,0.79 ,-- ,-- ,--,--,0.00%,0.00%,--,--,--,--,--,--,--,--,-0.45,--,--,--,--,--,--,--,--,--,--,23.23%,28.09k,25.95k,13.49M,13.49M,--,,,,,,1.08,9.37%,0.00,0.00%,--,8/31/2021,10/23/2023,--,--,,
5914,TEAM,40.61B ,39.75B ,-- ,47.85 ,2.39 ,9.68 ,35.81 ,9.54 ,1.37k ,6/30/2023,3/31/2024,-3.90%,1.50%,-1.42%,-18.94%,4.17B,16.12,29.90%,--,-30.61M,-162.55M,-0.62,--,2.14B,8.22,1.25B,109.89%,1.18,4.35,1.29B,1.25B,0.73,23.23%,1.8M,1.72M,159.29M,260.3M,158.1M,3.4M,1.9,2.14%,1.30%,4.4M,--,--,0.00,0.00%,0.00%,--,--,--,--,,
5915,TECH,12.12B ,12.46B ,61.50 ,36.63 ,-- ,10.73 ,6.01 ,10.80 ,34.64 ,6/30/2023,3/31/2024,17.59%,23.74%,6.11%,10.40%,1.15B,7.32,3.20%,--,326.3M,202.96M,1.25,-30.10%,145.31M,0.92,494.73M,24.56%,4.08,12.78,306.88M,192.58M,1.29,23.23%,1.07M,873.83k,157.58M,157.58M,155.84M,6.72M,5.36,5.54%,4.27%,5.75M,0.32,0.42%,0.32,0.42%,25.60%,5/24/2024,5/10/2024,4:1,11/30/2022,,
5916,TECK,24.66B ,32.08B ,21.34 ,16.16 ,-- ,2.26 ,1.29 ,2.89 ,8.56 ,12/31/2023,3/31/2024,10.60%,23.32%,3.58%,5.37%,15.21B,29.33,5.40%,--,5.39B,1.61B,2.23,-69.90%,1.3B,2.5,11.48B,37.28%,1.49,50.55,3.03B,-2.85B,1.39,23.23%,3.75M,3.02M,511.3M,531.81M,461.2M,6.34M,1.6,--,1.22%,6.34M,0.36,0.77%,0.50,1.05%,16.34%,6/28/2024,6/17/2024,2:1,5/11/2007,,
5917,TECTP,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,-- ,12/31/2023,12/31/2023,23.10%,24.32%,2.36%,14.97%,65.88M,9.33,-2.40%,--,--,13.67M,2.15,-6.40%,58.77M,8.27,35.55M,--,--,15.04,-33.19M,--,--,23.23%,2.16k,1.52k,4.05M,--,--,,,,,,0.9,8.69%,0.00,0.00%,--,2/15/2024,5/2/2024,--,--,,
5918,TEF,25.23B ,25.58B ,12.63 ,14.49 ,-- ,0.56 ,1.00 ,0.58 ,2.27 ,12/31/2023,3/31/2024,-1.61%,10.38%,1.43%,-1.28%,40.75B,7.20,0.90%,--,7.72B,-915M,-0.1700,78.50%,6.39B,1.13,46.29B,170.12%,0.91,4.08,11.56B,1.4B,0.69,23.23%,662.93k,907.25k,5.64B,5.79B,4.47B,3.85M,4.8,--,0.07%,3.32M,0.33,7.47%,0.00,0.00%,111.21%,7/11/2024,6/18/2024,3:1,1/21/2011,,
5919,TEI,255.03M ,-- ,7.20 ,-- ,-- ,7.20 ,0.92 ,8.61 ,-- ,12/31/2023,12/31/2023,130.56%,88.37%,4.56%,12.65%,26.7M,0.56,13.10%,--,--,34.86M,0.75,199.30%,42.23k,0,50M,17.94%,0.26,5.90,14.03M,13.77M,0.63,23.23%,112.83k,85.93k,47.23M,47.23M,--,48.35k,0.39,0.10%,0.10%,56.1k,0.57,10.56%,0.57,10.48%,75.47%,2/28/2019,6/18/2024,--,--,,
5920,TEL,46.11B ,49.13B ,13.72 ,18.02 ,1.73 ,2.98 ,3.70 ,3.10 ,14.01 ,9/29/2023,3/29/2024,21.63%,18.25%,7.99%,28.93%,15.83B,50.90,-4.60%,--,3.62B,3.43B,10.98,24.90%,1.18B,3.84,4.23B,33.70%,1.45,40.57,3.35B,1.98B,1.35,23.23%,1.81M,1.41M,306.23M,306.23M,305.48M,1.9M,0.9,0.70%,0.62%,2.83M,2.6,1.73%,2.36,1.57%,21.51%,3/7/2025,8/22/2024,--,--,,
5921,TELA,136.34M ,140.43M ,-- ,-- ,-- ,2.12 ,9.48 ,2.22 ,-5.01 ,12/31/2023,3/31/2024,-63.82%,-74.72%,-43.28%,-459.89%,63.15M,2.61,39.40%,--,-44.4M,-40.3M,-1.64,--,37.14M,1.51,42.84M,297.85%,4.12,0.58,-43.67M,-28.1M,1.04,23.23%,160.29k,102.18k,24.66M,24.66M,15.9M,1.15M,5,7.92%,4.64%,925.98k,--,--,0.00,0.00%,0.00%,--,--,--,--,,
